PICKLIST_NO,PICKLIST_DATE,CUSTOMERNAME,LOT_NO,PART_NO,DESCRIPTION,PICKEDQTY,DISPATCHQTY,DISPATCHED_BY,DISPATCHED_ON
PKL02200003,13-02-2020,KML,LT0001,02162M0616E,BOLT M6X16,2000,2000,1,2020-02-13
PKL02200003,13-02-2020,KML,LT200,01138-N8011,BOLT WELD M8 8.8,1800,1800,1,2020-02-13
